cluster_id,cluster_size,selected_pos_in_embedding,selected_dataset_index,selected_typicality
0,5054,27615,27615,2.8796722888946533
1,7090,49449,49449,3.0529425144195557
2,5188,24394,24394,3.285238742828369
3,3665,16189,16189,4.073542594909668
4,4529,1930,1930,3.5299394130706787
5,5047,25652,25652,9.497264862060547
6,6679,39019,39019,3.4296481609344482
7,1037,41091,41091,8.06545639038086
8,5013,33471,33471,4.805230617523193
9,6698,17957,17957,3.685114622116089
