method,budget,n_seeds,best_test_acc_mean,best_test_acc_std,final_test_acc_mean,final_test_acc_std,best_epoch_mean
random,10,3,0.15751953124999998,0.029150676885633803,0.15384114583333333,0.0315558660100909,56.0
tpcrp,10,3,0.1787109375,0.018859796122706076,0.17402343750000002,0.016214172775806696,66.33333333333333
random,50,3,0.22457682291666667,0.004098461129046128,0.22057291666666667,0.008105664844515503,51.666666666666664
tpcrp,50,3,0.2486002604166667,0.010349873338990102,0.24586588541666665,0.007498787675998059,76.33333333333333
